Year,Units,Value
2000,Tonnes per capita,12.54455636
2001,Tonnes per capita,12.57591393
2002,Tonnes per capita,12.16358941
2003,Tonnes per capita,12.12340723
2004,Tonnes per capita,12.54203475
2005,Tonnes per capita,12.12646884
2006,Tonnes per capita,11.90258947
2007,Tonnes per capita,11.72391637
2008,Tonnes per capita,10.91974288
2009,Tonnes per capita,9.522891721
2010,Tonnes per capita,9.193827229
2011,Tonnes per capita,9.199637829
2012,Tonnes per capita,8.842320069
2013,Tonnes per capita,8.891565025
2000,Tonnes per gross domestic product (£m),520.8803421
2001,Tonnes per gross domestic product (£m),510.2835801
2002,Tonnes per gross domestic product (£m),484.05877350000003
2003,Tonnes per gross domestic product (£m),468.4256493
2004,Tonnes per gross domestic product (£m),475.13848459999997
2005,Tonnes per gross domestic product (£m),449.5805204
2006,Tonnes per gross domestic product (£m),433.4535109
2007,Tonnes per gross domestic product (£m),419.6740681
2008,Tonnes per gross domestic product (£m),396.5922789
2009,Tonnes per gross domestic product (£m),364.0588168
2010,Tonnes per gross domestic product (£m),347.63810930000005
2011,Tonnes per gross domestic product (£m),345.5562018
2012,Tonnes per gross domestic product (£m),330.00535460000003
2013,Tonnes per gross domestic product (£m),327.6685007
